"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.322364167E-1,-3.784671798E-2,1.222880185E-2,-2.484134585E-2
7.422544167E-1,-3.995414451E-2,-2.575941756E-2,-2.359649912E-2
7.522724167E-1,-3.721348569E-2,-4.051519185E-2,-1.990322769E-2
7.622904167E-1,-3.346636146E-2,-4.832918942E-2,-1.932045259E-2
7.723084167E-1,-3.321762010E-2,-6.508632749E-2,-1.009393204E-2
7.823264167E-1,-3.479189426E-2,-9.064994752E-2,3.190092975E-4
7.923444167E-1,-4.039065912E-2,-1.249647737E-1,1.031678263E-2
8.023624167E-1,-5.273532495E-2,-1.614105403E-1,1.019693352E-2
8.123804167E-1,-6.996916980E-2,-1.843680590E-1,1.138949767E-2
8.223984167E-1,-7.256297022E-2,-1.676881760E-1,7.439607754E-3
8.324174167E-1,-7.009554654E-2,-1.334156841E-1,-1.319989003E-2
8.424354167E-1,-6.693527848E-2,-1.210736632E-1,-3.553498536E-2
8.524534167E-1,-7.283497602E-2,-1.405349821E-1,-6.067975610E-2
8.624714167E-1,-7.744202763E-2,-1.909555197E-1,-7.287733257E-2
8.724894167E-1,-8.257313818E-2,-2.534553707E-1,-6.959365308E-2
8.825074167E-1,-7.431006432E-2,-3.271688223E-1,-4.998184741E-2
8.925254167E-1,-5.910341814E-2,-4.003242552E-1,-2.950560115E-2
9.025434167E-1,-8.943001926E-2,-5.295476317E-1,1.084261611E-1
9.125614167E-1,-1.285896748E-1,-3.981030583E-1,1.819845438E-1
9.225794167E-1,-6.716211140E-2,-1.756094247E-1,1.594248861E-1
9.325974167E-1,-3.843086213E-2,-1.532463282E-1,4.041355103E-2
9.426154167E-1,-6.306713820E-2,-6.208229810E-2,-7.442289591E-2
9.526334167E-1,-1.226138249E-1,-1.396244112E-2,-1.086762100E-1
9.626514167E-1,-1.738291085E-1,-1.725459658E-2,-7.771881670E-2
9.726680000E-1,-1.827016920E-1,-3.787785023E-2,-4.272008315E-2
9.826860000E-1,-1.534180045E-1,-6.365346909E-2,-2.879584394E-2
9.927040000E-1,-9.365107864E-2,-9.153250605E-2,-2.407299541E-2
1.002723000E0,-2.983669192E-2,-1.339287162E-1,-7.314297836E-3
1.012741000E0,1.582853124E-2,-1.425680071E-1,5.419074092E-3
1.022759000E0,4.564012960E-2,-1.293012351E-1,1.768999733E-2
1.032777000E0,5.487383902E-2,-1.381988674E-1,1.735603623E-2
1.042795000E0,4.662677273E-2,-1.135053113E-1,-5.111857317E-3
1.052813000E0,2.782379091E-2,-7.504341006E-2,-3.465989605E-2
1.062831000E0,5.480261985E-3,-2.030799538E-2,-5.421058089E-2
1.072849000E0,-1.304495241E-2,2.448370680E-2,-6.038059294E-2
1.082867000E0,-2.116414160E-2,4.935850203E-2,-5.877806991E-2
1.092885000E0,-1.392194070E-2,6.612843275E-2,-5.194626376E-2
1.102903000E0,-5.610199878E-5,5.556219816E-2,-3.747153282E-2
1.112921000E0,1.353400853E-2,3.085684963E-2,-2.169363387E-2
1.122939000E0,1.866469346E-2,1.232156530E-2,-5.983212497E-3
1.132957000E0,2.433589473E-2,-1.408894546E-3,1.175897196E-3
1.142975000E0,2.965034917E-2,-1.286592521E-2,5.558134988E-3
1.152993000E0,3.931815922E-2,-1.695360988E-2,1.234147325E-2
1.163011000E0,4.839016870E-2,-2.444505692E-2,1.078215986E-2
1.173030000E0,4.349048436E-2,-2.139706910E-2,5.193250254E-3
1.183048000E0,3.089799359E-2,-8.790995926E-3,1.312758541E-3
1.193066000E0,2.304965816E-2,1.169226132E-3,1.957243308E-3
1.203084000E0,2.136707120E-2,8.801313117E-3,6.349594798E-3
1.213102000E0,2.752429992E-2,2.184627578E-2,7.122178096E-3
1.223120000E0,3.310848773E-2,3.377369046E-2,9.556548670E-3
1.233138000E0,3.053560480E-2,3.583364561E-2,1.829997264E-2
1.243156000E0,2.445304953E-2,3.232977539E-2,2.980046906E-2
1.253174000E0,4.935808945E-3,2.122332901E-2,4.392560944E-2
1.263192000E0,-1.868211105E-2,5.746711977E-3,5.369874835E-2
1.273210000E0,-4.133336246E-2,4.490498453E-3,5.428757146E-2
1.283228000E0,-5.268665031E-2,-6.460996345E-3,4.377233610E-2
1.293246000E0,-4.928898811E-2,-3.463883698E-2,4.007000849E-2
1.303264000E0,-2.646191046E-2,-4.920998216E-2,4.825270548E-2
1.313282000E0,4.833427258E-3,-4.689675570E-2,5.016272515E-2
1.323300000E0,2.785829641E-2,-4.998508096E-2,4.017412290E-2
1.333318000E0,4.267372936E-2,-5.617772788E-2,2.929031849E-2
1.343337000E0,4.148263484E-2,-7.259583473E-2,2.220353484E-2
1.353355000E0,2.498381771E-2,-9.248353541E-2,2.885105088E-2
1.363373000E0,7.392338593E-4,-8.266290277E-2,4.192129895E-2
1.373391000E0,-2.993585356E-2,-5.664221942E-2,4.882288352E-2
1.383409000E0,-4.962459207E-2,-4.176259041E-2,4.258793220E-2
1.393427000E0,-6.537612528E-2,-4.304596782E-2,2.954110876E-2
1.403445000E0,-6.952750683E-2,-5.061890185E-2,2.050790004E-2
1.413463000E0,-6.562598050E-2,-4.869290441E-2,1.542046480E-2
1.423481000E0,-4.726530984E-2,-3.337045014E-2,1.313599199E-2
1.433499000E0,-2.966181561E-2,-2.245021518E-3,1.163743157E-2
1.443517000E0,-8.048607036E-3,1.607733592E-2,3.171644872E-3
1.453535000E0,1.177995838E-2,1.371164992E-2,-3.814092837E-3
1.463553000E0,2.099746093E-2,1.361465082E-3,-5.166724790E-3
1.473571000E0,2.062381990E-2,-1.642314717E-3,-6.238380447E-3
1.483589000E0,1.417505555E-2,-5.596379749E-3,-8.084199391E-3
1.493607000E0,3.970354795E-3,-1.765117794E-2,-1.254925504E-2
1.503625000E0,-1.994846761E-2,-4.172079265E-2,-5.253934301E-3
1.513644000E0,-3.846303001E-2,-5.910324305E-2,1.955474168E-2
1.523662000E0,-4.021193832E-2,-5.267740786E-2,3.220571578E-2
1.533680000E0,-1.801528968E-2,-2.844104357E-2,3.076574765E-2
1.543698000E0,1.134186890E-2,-5.298703909E-4,2.151922695E-2
1.553716000E0,3.886137903E-2,-4.781340715E-3,5.567957181E-3
1.563734000E0,5.417649820E-2,-2.303977683E-2,-6.757133175E-3
1.573752000E0,4.717265069E-2,-3.726878017E-2,-1.155987848E-2
1.583770000E0,2.597143501E-2,-2.628837712E-2,-1.085614040E-2
1.593788000E0,-6.986514665E-3,-1.215604693E-2,-1.346896775E-2
1.603806000E0,-4.006579891E-2,-4.878900945E-4,-1.753944345E-2
1.613824000E0,-5.968930200E-2,5.051750690E-3,-3.064858727E-2
1.623842000E0,-6.324461848E-2,2.699485980E-3,-3.768668324E-2
1.633860000E0,-4.116301239E-2,-6.294008810E-3,-4.388838634E-2
1.643878000E0,-1.003950462E-2,-9.209447540E-3,-5.208120495E-2
1.653896000E0,2.110616490E-2,-7.226990536E-3,-5.637129396E-2
1.663914000E0,3.609231487E-2,1.289636828E-3,-5.014684796E-2
1.673932000E0,2.918407507E-2,-1.216438599E-2,-3.622943163E-2
1.683951000E0,1.533317100E-2,-1.966323145E-2,-2.758318931E-2
1.693969000E0,-4.132671282E-3,-2.506572008E-2,-2.226512320E-2
1.703987000E0,-2.118222788E-2,-2.018867433E-2,-1.874043047E-2
1.714005000E0,-4.455146566E-2,-2.201933041E-2,-6.497344933E-3
1.724023000E0,-5.557020381E-2,-2.179292589E-2,1.968511380E-2
1.734041000E0,-5.409215018E-2,-1.911431924E-2,4.718384892E-2
1.744059000E0,-2.874463424E-2,-1.578543708E-2,6.033242494E-2
1.754077000E0,-1.104217023E-3,-1.427489147E-2,5.594593287E-2
1.764095000E0,6.589607801E-3,-1.861928031E-2,4.494199157E-2
