"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.642645417E-1,-3.751199341E-1,-2.245330811E-3,9.787995758E0
8.742865417E-1,-3.611988831E-1,2.694396973E-3,9.783954163E0
8.843075417E-1,-3.796105957E-1,1.302291870E-2,9.782157898E0
8.943295417E-1,-3.736230469E-1,-6.586303711E-3,9.775571594E0
9.043505416E-1,-3.855981445E-1,9.280700684E-3,9.779164124E0
9.143725417E-1,-3.740721130E-1,4.640350342E-3,9.777218170E0
9.243935416E-1,-3.712280273E-1,1.107696533E-2,9.774972839E0
9.344155416E-1,-3.776646423E-1,1.526824951E-2,9.776020660E0
9.444375416E-1,-3.814068604E-1,3.592529297E-3,9.781409454E0
9.544585416E-1,-3.772155762E-1,-1.481918335E-2,9.782157898E0
9.644805416E-1,-3.709286499E-1,-3.592529297E-3,9.770182800E0
9.745015416E-1,-3.737727356E-1,-2.844085693E-3,9.774374084E0
9.845235416E-1,-3.893403625E-1,-7.484436035E-4,9.762548676E0
9.945445416E-1,-3.867956543E-1,8.981323242E-3,9.792187042E0
1.004566542E0,-3.873944092E-1,4.790039062E-3,9.780211945E0
1.014588542E0,-3.832031250E-1,3.742218018E-3,9.781708832E0
1.024609542E0,-3.751199341E-1,1.646575928E-3,9.781409454E0
1.034631542E0,-3.805087280E-1,1.332229614E-2,9.779613190E0
1.044652542E0,-3.787124634E-1,1.332229614E-2,9.777816925E0
1.054674542E0,-3.734733582E-1,1.362167358E-2,9.773625641E0
1.064695542E0,-3.764671326E-1,9.879455566E-3,9.770482178E0
1.074717542E0,-3.864962769E-1,-1.197509766E-3,9.759704590E0
1.084738542E0,-3.683839417E-1,-6.735992432E-3,9.778864746E0
1.094760542E0,-3.754193115E-1,2.245330811E-3,9.785600739E0
1.104782542E0,-3.751199341E-1,-1.796264648E-3,9.767039337E0
1.114803542E0,-3.784130859E-1,-6.735992432E-3,9.770631866E0
1.124825542E0,-3.935316467E-1,-1.945953369E-3,9.770332489E0
1.134846542E0,-3.857478333E-1,-6.885681152E-3,9.774074707E0
1.144868542E0,-3.752696228E-1,7.933502197E-3,9.778415680E0
1.154889542E0,-3.924838257E-1,-6.885681152E-3,9.787696381E0
1.164911542E0,-3.743714905E-1,1.781295776E-2,9.784552917E0
1.174933542E0,-3.739224243E-1,8.681945801E-3,9.785151672E0
1.184954542E0,-3.679348755E-1,7.334747314E-3,9.767787781E0
1.194976542E0,-3.728746033E-1,-3.891906738E-3,9.777517548E0
1.204997542E0,-3.793112183E-1,3.891906738E-3,9.783654785E0
1.215019542E0,-3.766168213E-1,-1.496887207E-3,9.781708832E0
1.225040542E0,-3.662882996E-1,-2.694396973E-3,9.784253540E0
1.235062542E0,-3.808081055E-1,-2.095642090E-3,9.794282684E0
1.245083542E0,-3.815565491E-1,7.035369873E-3,9.782457275E0
1.255105542E0,-3.797602844E-1,-7.484436035E-3,9.777517548E0
1.265127542E0,-4.010160828E-1,1.197509766E-3,9.774374084E0
1.275148542E0,-3.764671326E-1,-8.981323242E-4,9.774523773E0
1.285170542E0,-3.820056152E-1,1.437011719E-2,9.774673462E0
1.295191542E0,-3.861968994E-1,-2.544708252E-3,9.779912567E0
1.305213542E0,-3.891906738E-1,5.987548828E-3,9.778864746E0
1.315234542E0,-3.709286499E-1,-1.422042847E-2,9.763895874E0
1.325256542E0,-3.842509460E-1,-8.681945801E-3,9.770781555E0
1.335277875E0,-3.715274048E-1,-1.466949463E-2,9.778265991E0
1.345298875E0,-3.740721130E-1,-1.930984497E-2,9.763596497E0
1.355320875E0,-3.713777161E-1,-8.681945801E-3,9.779164124E0
1.365341875E0,-3.844006348E-1,8.981323242E-3,9.764344940E0
1.375363875E0,-3.634442139E-1,1.242416382E-2,9.774823151E0
1.385384875E0,-3.896397400E-1,5.987548828E-4,9.780211945E0
1.395406875E0,-3.891906738E-1,6.137237549E-3,9.775721283E0
1.405428875E0,-3.773652649E-1,-2.694396973E-3,9.778565369E0
1.415449875E0,-3.805087280E-1,1.182540894E-2,9.766739960E0
1.425471875E0,-3.598516846E-1,1.197509766E-2,9.780661011E0
1.435492875E0,-3.694317627E-1,4.490661621E-3,9.776469727E0
1.445514875E0,-3.601510620E-1,-4.490661621E-4,9.758956146E0
1.455535875E0,-3.730242920E-1,1.796264648E-3,9.760602722E0
1.465557875E0,-3.748205566E-1,2.245330811E-3,9.769584045E0
1.475579875E0,-3.815565491E-1,2.544708252E-3,9.790690155E0
1.485600875E0,-3.966751099E-1,-1.796264648E-3,9.779613190E0
1.495622875E0,-3.845503235E-1,-7.185058594E-3,9.776769104E0
1.505643875E0,-3.703298950E-1,1.257385254E-2,9.763147430E0
1.515665875E0,-3.700305176E-1,-5.089416504E-3,9.785301361E0
1.525686875E0,-3.814068604E-1,6.137237549E-3,9.786798248E0
1.535708875E0,-3.769161987E-1,-1.646575928E-3,9.780361633E0
1.545730875E0,-3.683839417E-1,4.490661621E-4,9.771080933E0
1.555751875E0,-3.890409851E-1,1.646575928E-3,9.778116302E0
1.565773875E0,-3.899391174E-1,1.496887207E-3,9.777367859E0
1.575794875E0,-3.903881836E-1,-1.077758789E-2,9.774074707E0
1.585816875E0,-3.653901672E-1,-1.691482544E-2,9.784552917E0
1.595837875E0,-3.610491943E-1,1.945953369E-3,9.779014435E0
1.605859875E0,-3.757186890E-1,-7.484436035E-3,9.772278442E0
1.615881875E0,-3.664379883E-1,-8.681945801E-3,9.771080933E0
1.625902875E0,-3.531156921E-1,1.496887207E-3,9.765093384E0
1.635924875E0,-3.565585327E-1,4.939727783E-3,9.761051788E0
1.645945875E0,-3.817062378E-1,-5.837860107E-3,9.776170349E0
1.655967875E0,-3.823049927E-1,-1.197509766E-3,9.776469727E0
1.665988875E0,-3.734733582E-1,-6.586303711E-3,9.771380310E0
1.676010875E0,-3.668870544E-1,-2.245330811E-3,9.780960388E0
1.686032875E0,-3.721261597E-1,2.589614868E-2,9.767488403E0
1.696053875E0,-3.836521912E-1,-5.538482666E-3,9.785001984E0
1.706075875E0,-3.709286499E-1,9.879455566E-3,9.779164124E0
1.716096875E0,-3.820056152E-1,-1.062789917E-2,9.790839844E0
1.726118875E0,-3.745211792E-1,-1.496887207E-3,9.772278442E0
1.736139875E0,-3.775149536E-1,-4.191284180E-3,9.768087158E0
1.746161875E0,-4.004173279E-1,1.032852173E-2,9.778265991E0
1.756183875E0,-3.820056152E-1,6.436614990E-3,9.788594513E0
1.766204875E0,-3.814068604E-1,-1.002914429E-2,9.767638092E0
1.776226875E0,-3.734733582E-1,-8.681945801E-3,9.790690155E0
