"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.107440000E-1,-4.370910645E-1,2.288590851E0,9.442065125E0
9.207660000E-1,-4.150868225E-1,2.295027466E0,9.405990143E0
9.307880000E-1,-3.538641357E-1,2.276765442E0,9.424701233E0
9.408100000E-1,-3.019221497E-1,2.253114624E0,9.508975983E0
9.508319999E-1,-3.670367432E-1,2.205363922E0,9.557325439E0
9.608539999E-1,-4.113446045E-1,2.216141510E0,9.571396179E0
9.708759999E-1,-4.155358887E-1,2.252216492E0,9.629325714E0
9.808980000E-1,-4.064048767E-1,2.261347504E0,9.665849762E0
9.909200000E-1,-3.758683777E-1,2.203118591E0,9.684860229E0
1.000942000E0,-3.611988831E-1,2.174528046E0,9.635163574E0
1.010964000E0,-3.481759644E-1,2.193089447E0,9.538165283E0
1.020986000E0,-2.845582581E-1,2.266586609E0,9.471853180E0
1.031008000E0,-2.824626160E-1,2.250120850E0,9.468859406E0
1.041030000E0,-3.357518005E-1,2.215093689E0,9.495953064E0
1.051052000E0,-4.312532043E-1,2.217638397E0,9.464518433E0
1.061074000E0,-3.915856934E-1,2.262545013E0,9.447154541E0
1.071096000E0,-3.722758484E-1,2.295177155E0,9.444160767E0
1.081118000E0,-3.836521912E-1,2.283651123E0,9.441017303E0
1.091140000E0,-4.179309082E-1,2.225721588E0,9.439071350E0
1.101162000E0,-4.273612976E-1,2.216291199E0,9.416168976E0
1.111184000E0,-4.317022705E-1,2.219584351E0,9.412426758E0
1.121206000E0,-4.465214539E-1,2.225721588E0,9.367370453E0
1.131229000E0,-4.718188477E-1,2.244282990E0,9.378746796E0
1.141251000E0,-4.932243347E-1,2.220033417E0,9.445957031E0
1.151273000E0,-4.567002869E-1,2.201322327E0,9.501790924E0
1.161295000E0,-4.415817261E-1,2.206411743E0,9.536518707E0
1.171317000E0,-4.644841003E-1,2.216590576E0,9.515113220E0
1.181339000E0,-4.963677979E-1,2.214494934E0,9.516909485E0
1.191361000E0,-5.282514954E-1,2.197280731E0,9.501790924E0
1.201383000E0,-5.517526245E-1,2.189347229E0,9.430688782E0
1.211405000E0,-5.800437927E-1,2.192191315E0,9.389674072E0
1.221427000E0,-4.920268250E-1,2.205064545E0,9.382489014E0
1.231449000E0,-4.477189636E-1,2.217488708E0,9.476643219E0
1.241471000E0,-4.505630493E-1,2.212998047E0,9.587562561E0
1.251493000E0,-3.995191956E-1,2.208956451E0,9.630672913E0
1.261515000E0,-4.005670166E-1,2.190395050E0,9.610914001E0
1.271537000E0,-4.147874451E-1,2.143692169E0,9.536369019E0
1.281559000E0,-3.842509460E-1,2.161654816E0,9.577832794E0
1.291581000E0,-4.207749939E-1,2.180964661E0,9.668544159E0
1.301603000E0,-4.887336731E-1,2.174827423E0,9.703870697E0
1.311625000E0,-4.532574463E-1,2.177072754E0,9.668993225E0
1.321647000E0,-4.402345276E-1,2.160606995E0,9.545649719E0
1.331669000E0,-4.087998962E-1,2.168390808E0,9.504335632E0
1.341691000E0,-3.948788452E-1,2.179168396E0,9.557175751E0
1.351713000E0,-4.430786133E-1,2.152972870E0,9.592502289E0
1.361735000E0,-4.462220764E-1,2.165846100E0,9.562265167E0
1.371757000E0,-4.334985352E-1,2.149380341E0,9.522747345E0
1.381779000E0,-4.375401306E-1,2.129621429E0,9.549691315E0
1.391801000E0,-4.252656555E-1,2.132914581E0,9.582173767E0
1.401823000E0,-4.219725037E-1,2.141147461E0,9.566157074E0
1.411845000E0,-4.246669006E-1,2.144889679E0,9.521100769E0
1.421867000E0,-4.568499756E-1,2.117346954E0,9.414522400E0
1.431890000E0,-4.314028931E-1,2.104773102E0,9.380093994E0
1.441912000E0,-4.328997803E-1,2.135908356E0,9.420210571E0
1.451934000E0,-4.544549561E-1,2.126328278E0,9.429191895E0
1.461956000E0,-4.712200928E-1,2.108964386E0,9.436526642E0
1.471978000E0,-4.251159668E-1,2.091600494E0,9.454489288E0
