"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.039257500E-1,2.465373230E-1,7.607929230E0,7.502997437E0
8.139447500E-1,1.014889526E-1,7.640261993E0,7.595505066E0
8.239637500E-1,6.646179199E-2,7.669451294E0,7.815248108E0
8.339827500E-1,-3.143463135E-3,7.681576080E0,8.086035004E0
8.440017500E-1,-2.454895020E-2,7.656877441E0,8.333769836E0
8.540207500E-1,2.005828857E-2,7.653434601E0,8.534053345E0
8.640397500E-1,2.185455322E-2,7.713160400E0,8.875643005E0
8.740587500E-1,-3.293151855E-3,7.762108612E0,9.445507965E0
8.840777500E-1,-4.243675232E-1,7.808362427E0,1.004815475E1
8.940967500E-1,-1.092877350E0,7.741451569E0,1.057745407E1
9.041157500E-1,-1.722019043E0,7.452702026E0,1.117920273E1
9.141347500E-1,-2.200873260E0,7.090305634E0,1.177137131E1
9.241527500E-1,-2.432741089E0,6.632856903E0,1.241188934E1
9.341717500E-1,-2.352507935E0,6.665638733E0,1.280122971E1
9.441907500E-1,-2.449057159E0,8.018824768E0,1.171448959E1
9.542097500E-1,-3.515140228E0,6.844067688E0,9.679770813E0
9.642287500E-1,-3.470383301E0,5.482798462E0,8.136929169E0
9.742477500E-1,-3.248843994E0,8.403674469E0,6.828949127E0
9.842667500E-1,-4.987328796E0,8.375383301E0,5.923032990E0
9.942857500E-1,-6.018235016E0,5.730682983E0,6.645281067E0
1.004304750E0,-4.963827667E0,5.077740784E0,8.588689728E0
1.014323750E0,-3.832779694E0,5.008434906E0,1.042387344E1
1.024342750E0,-2.360591125E0,4.368665314E0,1.140852585E1
1.034361750E0,-6.012995911E-1,3.960613861E0,1.175685150E1
1.044380750E0,1.916015625E-1,3.831133118E0,1.220472015E1
1.054399750E0,4.975653076E-1,3.730991364E0,1.324595490E1
1.064418750E0,4.781057739E-1,4.053420868E0,1.399020721E1
1.074437750E0,8.845106506E-1,4.809498596E0,1.331795517E1
1.084456750E0,2.139201508E0,5.589227142E0,1.150582352E1
1.094475750E0,3.208877106E0,6.387367401E0,9.277407532E0
1.104494750E0,3.409010925E0,6.907086639E0,7.153174896E0
1.114512750E0,3.036136322E0,6.904541931E0,5.501659241E0
1.124531750E0,2.512525177E0,6.567442932E0,4.399201813E0
1.134550750E0,2.043251038E0,6.033353577E0,3.840264130E0
1.144569750E0,1.545086975E0,5.359305267E0,3.655398560E0
1.154588750E0,1.207089844E0,4.642296295E0,3.539090424E0
1.164607750E0,1.040935364E0,3.982169037E0,3.543880463E0
1.174626750E0,1.115480347E0,3.491639099E0,3.684138794E0
1.184645750E0,1.134790192E0,2.970123596E0,3.765419769E0
1.194664750E0,9.955796814E-1,2.547103271E0,3.590733032E0
1.204683750E0,8.089178467E-1,2.308948517E0,3.336262207E0
1.214702750E0,6.306385803E-1,2.338137817E0,3.180735626E0
1.224721750E0,3.694317627E-1,2.508932648E0,3.131787415E0
1.234740750E0,-8.277786255E-2,2.840942230E0,3.393443298E0
1.244759750E0,-7.056326294E-1,3.407813416E0,3.970942383E0
1.254778750E0,-1.466650085E0,4.135450287E0,4.562362518E0
1.264797750E0,-2.247127075E0,4.980143738E0,5.085823975E0
1.274816750E0,-3.129093018E0,6.007457428E0,5.300776978E0
1.284835750E0,-4.175866241E0,7.115303650E0,5.333409119E0
1.294854750E0,-4.976251831E0,8.161927185E0,5.507347412E0
1.304872750E0,-5.110073547E0,9.165140991E0,6.422993317E0
1.314891750E0,-4.649331665E0,9.603878632E0,8.023764496E0
1.324910750E0,-4.194427643E0,9.508826294E0,1.031969009E1
1.334929750E0,-4.352199554E0,9.320517883E0,1.287263123E1
1.344948750E0,-4.934937744E0,8.957223358E0,1.463940720E1
1.354967750E0,-5.288801880E0,8.600215759E0,1.501183273E1
1.364986750E0,-4.792583771E0,8.420439606E0,1.355625961E1
1.375005750E0,-3.416345673E0,8.754095764E0,1.160461807E1
1.385024750E0,-1.626667328E0,9.944420471E0,1.020472916E1
1.395043750E0,3.665876770E-1,9.541159058E0,9.408235474E0
1.405062750E0,1.591191101E0,8.589438171E0,1.021775208E1
1.415081417E0,1.434616699E0,8.564290466E0,1.211790070E1
1.425100417E0,1.077309723E0,7.554340668E0,1.353006409E1
1.435119417E0,1.458866272E0,6.538403320E0,1.370445145E1
