"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.353580000E-1,3.098900779E-4,-3.055426478E-2,-2.225033380E-2
7.453800000E-1,5.550152157E-3,4.318431020E-4,-1.653313823E-2
7.554020000E-1,1.992169069E-3,3.963037953E-2,-4.867693875E-3
7.654240000E-1,4.457576200E-3,6.954764575E-2,-3.174218582E-3
7.754460000E-1,1.634379663E-2,8.548853546E-2,-1.495045051E-2
7.854680000E-1,2.804837003E-2,6.955734640E-2,-2.505252510E-2
7.954900000E-1,4.381242022E-2,4.107137769E-2,-2.348365821E-2
8.055120000E-1,4.337980226E-2,4.028696567E-2,-1.290129218E-2
8.155340000E-1,3.541455418E-2,5.555566400E-2,-5.645776168E-3
8.255569999E-1,3.039729781E-2,4.972200841E-2,-9.896037169E-3
8.355789999E-1,2.322300896E-2,3.987523913E-2,-1.494352613E-2
8.456009999E-1,1.300984435E-2,3.921683133E-2,-1.526951324E-2
8.556230000E-1,6.754345261E-3,3.916063905E-2,-7.274969481E-3
8.656450000E-1,4.305596929E-3,4.278949648E-2,3.993188497E-3
8.756670000E-1,6.889928132E-3,4.763378575E-2,9.734165855E-3
8.856890000E-1,8.779185824E-3,3.598165885E-2,4.776178859E-3
8.957110000E-1,5.106420722E-3,2.076089382E-2,1.412339741E-3
9.057330000E-1,-8.878424764E-3,3.472366184E-2,1.034247503E-2
9.157550000E-1,-1.634672843E-2,5.311891437E-2,2.011734061E-2
9.257770000E-1,-1.999254152E-2,6.432994455E-2,1.743897609E-2
9.357990000E-1,-1.807240210E-2,4.838080332E-2,-2.564026043E-3
9.458210000E-1,-2.432277054E-2,1.782137156E-2,-1.061968319E-2
9.558430000E-1,-4.003542289E-2,-6.566524971E-3,-1.197256893E-2
9.658650000E-1,-4.367250204E-2,-1.917313039E-2,-9.971469641E-3
9.758870000E-1,-2.299731597E-2,-2.172976546E-2,-8.551205508E-3
9.859090000E-1,1.122086123E-2,-2.229260467E-2,-1.499295235E-2
9.959310000E-1,3.026618995E-2,-3.686962649E-3,-1.170128584E-2
1.005953000E0,2.912067622E-2,2.521769330E-2,-3.155514132E-3
1.015975000E0,2.363243327E-2,3.353208303E-2,-3.395731328E-3
1.025997000E0,2.209089883E-2,3.124633059E-2,-1.308543887E-2
1.036019000E0,2.124800906E-2,1.061375532E-2,-1.989886910E-2
1.046041000E0,-7.287309505E-3,-1.861898229E-3,-1.971926540E-2
1.056063000E0,-2.803706378E-2,1.383610535E-2,-1.639510691E-2
1.066085000E0,-2.576445043E-2,2.052543499E-2,-1.593183912E-2
1.076107000E0,-1.539270859E-3,2.661341988E-2,-8.724794723E-3
1.086129000E0,1.070847642E-2,3.822267056E-2,-1.053480618E-2
1.096151000E0,9.088209830E-3,4.338281602E-2,-2.173206769E-2
1.106173000E0,-2.356338373E-4,3.761376068E-2,-2.830045484E-2
1.116195000E0,-1.844712906E-2,2.542260662E-2,-2.592171915E-2
1.126217000E0,-3.404638544E-2,2.164339274E-2,-1.938044652E-2
1.136240000E0,-4.815528169E-2,2.568313852E-2,-2.064678073E-2
1.146262000E0,-5.433380976E-2,2.974392846E-2,-2.361459844E-2
1.156284000E0,-4.807884246E-2,2.994845808E-2,-2.438984439E-2
1.166306000E0,-3.714790195E-2,3.687693924E-2,-1.764193550E-2
1.176328000E0,-1.903521456E-2,3.876858205E-2,-8.294239640E-3
1.186350000E0,-8.750391193E-3,2.799871936E-2,-8.102304302E-3
1.196372000E0,-1.305592339E-2,2.003134042E-2,-1.907258993E-3
1.206394000E0,-3.334939852E-2,2.476465143E-2,5.898356438E-3
1.216416000E0,-6.056983396E-2,1.497513987E-2,1.173547283E-2
1.226438000E0,-7.616720349E-2,-1.364147943E-2,4.550334532E-3
1.236460000E0,-8.098352700E-2,-4.497650266E-2,-3.364047268E-3
1.246482000E0,-6.881868839E-2,-6.149151921E-2,-1.206129231E-2
1.256504000E0,-5.475879461E-2,-4.963006079E-2,-1.752157137E-2
1.266526000E0,-6.179273874E-2,-1.453599520E-2,-1.445574500E-2
1.276548000E0,-6.822400540E-2,2.119483799E-2,-1.643021218E-2
1.286570000E0,-4.728026688E-2,3.578215092E-2,-1.852803305E-2
1.296592000E0,-2.178476006E-2,3.034530580E-2,-1.365577988E-2
1.306614000E0,1.683035749E-3,1.681580022E-2,-8.060571738E-3
1.316636000E0,9.634496528E-4,7.052653469E-3,2.685816027E-3
1.326658000E0,-1.600885577E-2,5.498850718E-3,2.164009027E-3
1.336680000E0,-2.811079100E-2,-9.772513993E-3,-3.870713990E-3
1.346702000E0,-3.187431023E-2,-2.071072534E-2,-3.281637793E-3
1.356724000E0,-2.737357095E-2,-1.819297299E-2,-2.836357336E-3
1.366746000E0,-2.161453664E-2,9.788672440E-3,5.039169453E-3
1.376768000E0,-2.198951133E-2,2.966810390E-2,7.688482292E-3
1.386790000E0,-1.124233007E-2,3.411372006E-2,2.246833174E-3
1.396812000E0,7.488187402E-4,2.193987556E-2,-3.023562487E-3
