"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.351805000E-1,2.084085345E-2,5.339907482E-2,1.681010611E-2
7.451985000E-1,-1.353443135E-2,6.780677289E-2,6.277836394E-3
7.552165000E-1,-3.668453917E-2,4.045719653E-2,1.125392783E-2
7.652345000E-1,-2.748864330E-2,-1.752568036E-2,2.807711624E-2
7.752525000E-1,9.784681723E-3,-5.064104497E-2,4.865106940E-2
7.852705000E-1,6.083401665E-2,-4.861624166E-2,6.713314354E-2
7.952885000E-1,9.563317150E-2,-3.628434241E-2,7.637273520E-2
8.053065000E-1,1.002859771E-1,-3.002777882E-2,7.261554897E-2
8.153245000E-1,8.482553065E-2,-3.100409359E-2,6.396959722E-2
8.253425000E-1,5.252192169E-2,-3.267043084E-2,5.259843171E-2
8.353605000E-1,2.307336964E-2,-2.811605111E-2,3.746927530E-2
8.453785000E-1,-9.762075730E-3,-6.704768166E-3,1.774164476E-2
8.553965000E-1,-3.100943565E-2,3.774926066E-2,5.659299903E-3
8.654146250E-1,-4.328260943E-2,7.883544266E-2,7.186089642E-3
8.754326250E-1,-4.866186157E-2,9.157671779E-2,1.187935937E-2
8.854506250E-1,-3.796048090E-2,8.728370070E-2,5.539437756E-3
8.954686250E-1,-2.988883480E-2,7.813149691E-2,-5.736235995E-3
9.054866250E-1,-2.280109748E-2,7.315538079E-2,-1.390202064E-2
9.155046250E-1,-2.984578349E-2,5.829411000E-2,-1.757384650E-2
9.255226250E-1,-4.080868512E-2,2.517024055E-2,-1.731472090E-2
9.355406250E-1,-4.857184738E-2,-1.881637052E-2,-8.694625460E-3
9.455586250E-1,-4.995003343E-2,-7.231208682E-2,-2.707040636E-3
9.555766250E-1,-4.909669608E-2,-1.322030425E-1,-4.344482906E-3
9.655946250E-1,-3.098746762E-2,-1.752663553E-1,-5.889382679E-3
9.756126250E-1,3.886254737E-3,-1.724246293E-1,-4.174277186E-3
9.856306250E-1,3.505375981E-2,-1.443205476E-1,1.391463447E-3
9.956496250E-1,4.603469372E-2,-1.044191420E-1,1.052369364E-2
1.005667625E0,3.566700593E-2,-9.166260064E-2,2.555350959E-2
1.015685625E0,2.124935761E-2,-9.703849256E-2,3.327122331E-2
1.025703625E0,2.176734246E-2,-8.020544797E-2,3.247706965E-2
1.035721625E0,3.359400108E-2,-4.770313203E-2,2.490955777E-2
1.045739625E0,4.042927176E-2,-1.038478967E-2,1.575760543E-2
1.055757625E0,4.518523440E-2,1.318048965E-2,6.461699959E-3
1.065775625E0,4.046930745E-2,2.419558913E-2,1.965751406E-3
1.075793625E0,3.971496597E-2,3.161567822E-2,7.974757813E-3
1.085811625E0,2.856271155E-2,1.767243259E-2,1.038065739E-2
1.095829625E0,1.510350034E-2,-3.597587347E-2,1.337500010E-2
1.105847625E0,1.302809920E-2,-8.811710030E-2,1.633829810E-2
1.115865625E0,3.366304934E-2,-1.093934849E-1,1.864019036E-2
1.125883625E0,6.614401937E-2,-1.156636328E-1,2.578811347E-2
1.135901625E0,8.821795881E-2,-1.291812360E-1,3.006688505E-2
1.145919625E0,7.802151144E-2,-1.514524519E-1,2.255996689E-2
1.155937625E0,6.135562807E-2,-1.618318856E-1,9.036575444E-3
1.165955625E0,4.667841271E-2,-1.373031139E-1,-1.117415447E-2
1.175973625E0,2.484741621E-2,-9.109938890E-2,-3.119500168E-2
1.185991625E0,6.213810761E-3,-4.198510572E-2,-3.278783709E-2
1.196009625E0,-3.198396787E-2,-2.636977937E-3,-3.037168831E-2
1.206027625E0,-5.578197539E-2,1.046843734E-2,-2.265065163E-2
1.216045625E0,-6.055164710E-2,5.094156601E-3,-1.743455790E-2
1.226063625E0,-3.262867033E-2,-1.419405360E-2,-1.884816401E-2
1.236081625E0,-3.426368057E-4,-3.749484941E-2,-9.193406440E-3
1.246099625E0,1.606882736E-2,-9.355305880E-2,2.731963061E-3
1.256117625E0,2.765232697E-2,-1.319201440E-1,1.414769422E-2
1.266135625E0,3.950819001E-2,-1.103666425E-1,1.449497044E-2
1.276153625E0,3.317337111E-2,-7.713921368E-2,1.484786347E-2
1.286171625E0,2.308185585E-2,-2.991923317E-2,1.714031212E-2
1.296189625E0,-8.799469215E-4,8.865159936E-3,9.330026805E-3
1.306207625E0,-2.618983015E-2,4.123029113E-2,5.156320520E-3
1.316225625E0,-4.979344085E-2,5.621685833E-2,-1.429256052E-3
1.326243625E0,-5.801355466E-2,4.646569863E-2,-1.233649813E-2
1.336261625E0,-3.690826893E-2,3.387640417E-2,-1.681353897E-2
