"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.592535416E-1,1.293751993E-4,-1.485612243E-3,-5.812923773E-4
8.692755416E-1,5.819444777E-4,-5.959710106E-4,-2.962482686E-4
8.792965416E-1,8.021878893E-4,-7.176771760E-4,2.953607123E-3
8.893185416E-1,1.909532584E-3,1.168111339E-4,7.623491110E-4
8.993395417E-1,-1.216485864E-3,1.791939139E-3,7.765035843E-5
9.093615416E-1,2.641876461E-3,4.692776129E-4,-1.312654349E-3
9.193835416E-1,2.588613192E-3,8.802032098E-4,2.030411735E-3
9.294045417E-1,1.364058116E-3,1.351282932E-3,-1.341040013E-3
9.394265417E-1,-6.287853466E-4,6.777700037E-4,1.492649317E-4
9.494475417E-1,6.417282275E-4,-9.828787297E-4,-1.714160433E-3
9.594695417E-1,1.924040378E-3,1.566875726E-4,1.869921805E-3
9.694905417E-1,-2.581011271E-3,-3.344276920E-3,2.846591407E-3
9.795125417E-1,-3.461452434E-3,1.513883471E-4,4.833022540E-4
9.895345417E-1,7.467153482E-4,-6.578275934E-4,6.749518216E-4
9.995555417E-1,1.221551065E-5,-1.093787141E-3,1.048326958E-3
1.009577542E0,1.314085326E-3,-9.867697954E-4,1.312129200E-3
1.019598542E0,2.178547438E-3,-1.801430248E-3,-8.418355137E-4
1.029620542E0,2.435968723E-3,-1.169484109E-3,4.425938823E-5
1.039641542E0,3.642957308E-4,-1.434468664E-3,-6.052855751E-4
1.049663542E0,9.170101839E-4,2.163934521E-3,8.129614871E-4
1.059685542E0,2.114899922E-3,1.603072509E-3,-4.403221246E-4
1.069706542E0,-1.055451808E-3,-6.431117654E-4,-2.667178342E-4
1.079728542E0,-1.085012918E-3,8.152350783E-4,9.080024902E-4
1.089749542E0,-2.427308587E-3,9.132176638E-5,1.915650908E-3
1.099771542E0,-2.359664300E-3,-3.536920995E-4,1.937755151E-3
1.109792542E0,-2.736916067E-4,8.751787245E-4,-1.098825363E-3
1.119814542E0,5.138051347E-4,3.830268979E-4,1.203697902E-4
1.129835542E0,-1.501058810E-3,-1.354779117E-3,-4.955014447E-4
1.139857542E0,-1.050718245E-3,-1.907651313E-3,9.700360824E-4
1.149879542E0,1.618086535E-4,3.005256876E-4,1.812270493E-3
1.159900542E0,3.253267205E-4,1.203603111E-3,1.213858137E-3
1.169922542E0,5.022254772E-4,2.085759304E-3,1.837316784E-3
1.179943542E0,-1.406616357E-4,8.769501001E-4,-8.953528013E-4
1.189965542E0,1.077387133E-4,-1.247561537E-3,9.020991856E-4
1.199986542E0,4.675232776E-5,-5.175890401E-4,-8.180366131E-4
1.210008542E0,-2.763055090E-4,9.319884703E-4,-4.888235708E-4
1.220030542E0,2.320010215E-3,-9.956071153E-4,9.317445802E-7
1.230051542E0,2.587882336E-3,-6.909864023E-4,8.850317099E-4
1.240073542E0,1.020079362E-3,2.131165937E-3,-2.795686014E-4
1.250094542E0,-8.843268151E-4,-8.709663525E-4,-4.993863695E-5
1.260116542E0,-1.309899963E-3,4.550218582E-4,9.817699902E-4
1.270137542E0,-1.927740057E-3,1.145542599E-3,1.409305492E-3
1.280159542E0,-2.227842924E-4,-7.929727435E-4,3.570906119E-4
1.290181542E0,-1.198906451E-3,-6.142994389E-4,-1.422084897E-4
1.300202542E0,-5.682699266E-4,1.834210940E-3,-2.133148955E-4
1.310224542E0,1.080085422E-4,-1.112148166E-4,2.867407165E-4
1.320245542E0,3.679330694E-4,-5.058953539E-4,5.211624375E-5
1.330266875E0,3.833237279E-4,-5.271257833E-4,8.901420515E-4
1.340287875E0,6.163503276E-4,-7.271291688E-4,7.545871194E-4
1.350309875E0,-1.540824189E-3,-9.642988443E-4,7.473043515E-4
1.360331875E0,3.231560346E-3,-5.376609042E-4,2.269227407E-4
1.370352875E0,-8.501557168E-4,1.904151402E-3,-1.413761056E-3
1.380374875E0,-5.830406444E-4,9.283693507E-4,-8.803948003E-5
