"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.428911667E-1,-7.505827397E-2,1.576661132E-2,-3.527838970E-3
7.529091667E-1,-7.595495880E-2,2.833726443E-2,-1.031437237E-2
7.629261666E-1,-6.522018462E-2,3.165798262E-2,-1.376768108E-2
7.729441667E-1,-6.310404092E-2,2.395026386E-2,-2.128871530E-2
7.829621666E-1,-6.579202414E-2,8.574489504E-3,-2.467373013E-2
7.929791667E-1,-6.160473451E-2,-1.460300200E-2,-1.900013350E-2
8.029971667E-1,-4.478626326E-2,-3.220779821E-2,-6.739533506E-3
8.130141667E-1,-3.080146760E-2,-4.600270465E-2,-2.233198611E-3
8.230321667E-1,-3.705549985E-2,-5.946129560E-2,1.359594055E-3
8.330501667E-1,-5.732055753E-2,-6.907077879E-2,2.474659588E-3
8.430671667E-1,-6.461708993E-2,-7.077778876E-2,6.942267995E-3
8.530851667E-1,-4.392193258E-2,-6.199467927E-2,6.605377886E-3
8.631031667E-1,-1.669297740E-2,-4.401115328E-2,7.324164733E-3
8.731201667E-1,-4.249091260E-3,-3.000186011E-2,4.771525040E-3
8.831381667E-1,-1.344052795E-2,-3.088480979E-2,4.313900135E-3
8.931561667E-1,-2.878646180E-2,-4.119151086E-2,9.732308681E-4
9.031731667E-1,-2.963820845E-2,-4.560474679E-2,2.918309532E-3
9.131911666E-1,-2.365781367E-2,-3.319121897E-2,6.587079726E-3
9.232091667E-1,-2.142536268E-2,-6.258169189E-3,1.201812550E-2
9.332261666E-1,-2.731254697E-2,1.322525181E-2,1.444746181E-2
9.432441667E-1,-3.695167974E-2,9.444171563E-3,1.948424056E-2
9.532611667E-1,-3.283603117E-2,-9.066130035E-3,2.171090804E-2
9.632791667E-1,-1.953072846E-2,-2.722397447E-2,2.087737992E-2
9.732971667E-1,-1.847872511E-3,-3.096038848E-2,1.402346976E-2
9.833141667E-1,3.834127216E-3,-2.565656416E-2,9.119290859E-3
9.933321667E-1,-9.246754344E-4,-1.919307187E-2,4.535990767E-3
1.003350167E0,-3.944486380E-3,-2.042053454E-2,-4.591728211E-4
1.013367167E0,-1.088654809E-2,-2.386320382E-2,-2.185966354E-3
1.023385167E0,-1.989975944E-2,-2.677129209E-2,-6.247397512E-3
1.033403167E0,-2.286252566E-2,-1.986677945E-2,-7.032497786E-3
1.043420167E0,-2.491320483E-2,-1.484255679E-2,-1.531256083E-2
1.053438167E0,-2.936787345E-2,-1.864768192E-2,-2.177285589E-2
1.063456167E0,-3.330876678E-2,-2.682730183E-2,-2.575121447E-2
1.073473167E0,-3.973257542E-2,-3.329851478E-2,-2.604922280E-2
1.083491167E0,-4.688422382E-2,-4.274296761E-2,-1.592403837E-2
1.093509167E0,-5.100626498E-2,-5.635358393E-2,-8.467454463E-3
1.103526167E0,-5.155881494E-2,-6.317526102E-2,-1.415530453E-3
1.113544167E0,-5.316203833E-2,-5.740259215E-2,-8.751751157E-4
1.123561167E0,-4.890557751E-2,-4.429249465E-2,-4.268669058E-3
1.133579167E0,-4.067241400E-2,-3.312506154E-2,-2.003384288E-3
1.143597167E0,-4.081309587E-2,-2.257399634E-2,-3.377403598E-3
1.153614167E0,-4.314682633E-2,-1.600104943E-2,-5.012051668E-3
1.163632167E0,-5.725872144E-2,-3.605744336E-3,-1.111903973E-2
1.173650167E0,-6.440930814E-2,-3.837173339E-3,-8.705418557E-3
1.183667167E0,-7.661771029E-2,-1.003654953E-2,-5.463568494E-3
1.193685167E0,-8.575315773E-2,-2.433346212E-2,3.711021738E-3
1.203703167E0,-9.474203736E-2,-3.904508427E-2,1.059560943E-2
1.213720167E0,-9.224399179E-2,-4.571497068E-2,1.646015421E-2
1.223738167E0,-9.511727840E-2,-5.016822740E-2,1.616043970E-2
1.233756167E0,-9.071507305E-2,-5.635421723E-2,1.459077280E-2
1.243773167E0,-8.247938007E-2,-5.036640912E-2,1.338854339E-2
1.253791167E0,-6.982909888E-2,-3.004276007E-2,1.330571901E-2
1.263808167E0,-6.106302142E-2,-1.379444823E-2,1.606683992E-2
1.273826167E0,-6.549958140E-2,-2.613166813E-3,1.951749809E-2
1.283844167E0,-7.526732981E-2,8.684732020E-3,2.262892947E-2
1.293861167E0,-7.794220746E-2,2.635826729E-2,2.563217655E-2
1.303879167E0,-7.654772699E-2,3.336612135E-2,2.283120342E-2
1.313897167E0,-8.070545644E-2,2.981959097E-2,1.441667974E-2
1.323914167E0,-7.986094803E-2,2.417032793E-2,2.434806665E-3
1.333932167E0,-6.142947823E-2,1.238583960E-2,-1.036594342E-2
1.343950167E0,-4.356799275E-2,8.771428838E-4,-2.494364791E-2
1.353967167E0,-4.053571820E-2,-1.984757558E-2,-4.147468507E-2
1.363985167E0,-5.519220978E-2,-5.286439508E-2,-5.013622344E-2
1.374003167E0,-5.471364036E-2,-7.678171247E-2,-5.149763450E-2
1.384020167E0,-4.581303895E-2,-8.864688128E-2,-5.157872289E-2
1.394038167E0,-4.288063198E-2,-8.539116383E-2,-4.760076106E-2
1.404055167E0,-5.069573969E-2,-9.101328999E-2,-3.978409991E-2
1.414073167E0,-5.544122681E-2,-8.196413517E-2,-2.994291857E-2
1.424091167E0,-5.187507719E-2,-5.934231356E-2,-2.166703902E-2
1.434108167E0,-4.356042296E-2,-2.627544105E-2,-1.665976271E-2
1.444126167E0,-3.917444870E-2,-1.689595357E-2,-2.032431774E-2
1.454144167E0,-4.189193621E-2,-8.391147479E-3,-2.871806920E-2
1.464161167E0,-3.267432377E-2,7.493417710E-3,-3.552454337E-2
1.474179167E0,-3.452468663E-2,1.807335764E-2,-4.453321546E-2
1.484197167E0,-5.044506118E-2,2.221395820E-2,-3.999800980E-2
1.494214167E0,-6.710712612E-2,6.133243442E-4,-4.098844156E-2
1.504232167E0,-7.201101631E-2,-2.340384945E-2,-3.534852341E-2
1.514250167E0,-6.845383346E-2,-4.875687510E-2,-3.505877033E-2
1.524267167E0,-5.861006677E-2,-5.919889361E-2,-3.855091706E-2
1.534285167E0,-4.767140001E-2,-5.544037372E-2,-4.060980678E-2
1.544302167E0,-3.614996374E-2,-3.425534815E-2,-4.476210847E-2
