"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.438117500E-1,-8.051343262E-2,1.189911813E-1,-2.485512942E-2
7.538307500E-1,-2.661291324E-2,1.417420954E-1,-6.658726931E-2
7.638497500E-1,4.307588562E-2,1.645001471E-1,-9.629908949E-2
7.738687500E-1,9.849074483E-2,1.846899539E-1,-1.094536781E-1
7.838877500E-1,1.232395023E-1,2.172140628E-1,-1.210064739E-1
7.939067500E-1,1.084051505E-1,2.193874121E-1,-1.175082698E-1
8.039257500E-1,7.498754561E-2,1.761898696E-1,-9.371931106E-2
8.139447500E-1,3.804297000E-2,9.474579245E-2,-6.953959912E-2
8.239637500E-1,1.634086855E-2,-2.645679563E-2,-5.094833672E-2
8.339827500E-1,1.805121638E-2,-1.503373384E-1,-3.423956409E-2
8.440017500E-1,2.433627658E-2,-2.475176901E-1,-3.620151430E-2
8.540207500E-1,3.615739569E-2,-2.678240836E-1,-4.792483896E-2
8.640397500E-1,7.601507008E-2,-2.044304609E-1,-8.255632222E-2
8.740587500E-1,1.515278667E-1,-8.374843001E-2,-1.250478178E-1
8.840777500E-1,2.597256899E-1,7.344438136E-2,-1.490508914E-1
8.940967500E-1,4.001754820E-1,2.372161448E-1,-1.562347412E-1
9.041157500E-1,5.626158118E-1,3.829259574E-1,-1.526911408E-1
9.141347500E-1,7.771714926E-1,4.902171493E-1,-1.481591314E-1
9.241527500E-1,1.095344186E0,5.010256171E-1,-1.591526568E-1
9.341717500E-1,1.532054782E0,3.491608202E-1,-1.347927749E-1
9.441907500E-1,1.775070906E0,3.721305728E-1,5.989148840E-2
9.542097500E-1,1.616124153E0,4.754944444E-1,3.001795709E-1
9.642287500E-1,1.395632029E0,3.024366498E-1,5.482620597E-1
9.742477500E-1,9.432161450E-1,3.320021033E-1,8.780969381E-1
9.842667500E-1,2.604865432E-1,4.868955612E-1,1.093405247E0
9.942857500E-1,-2.157875746E-1,4.177268147E-1,1.131436706E0
1.004304750E0,-4.603853226E-1,9.164936841E-2,9.582952261E-1
1.014323750E0,-5.767133236E-1,-3.177398741E-1,7.338463068E-1
1.024342750E0,-6.223306060E-1,-6.074649096E-1,4.992343187E-1
1.034361750E0,-7.101194859E-1,-5.500182509E-1,3.797224164E-1
1.044380750E0,-7.278239131E-1,-7.668665051E-2,3.575415015E-1
1.054399750E0,-5.457354188E-1,4.839215577E-1,3.521247506E-1
1.064418750E0,-2.277726531E-1,8.398388624E-1,3.196930587E-1
1.074437750E0,7.198356837E-2,9.275628328E-1,1.902332753E-1
1.084456750E0,2.656103075E-1,9.476721287E-1,-3.736526519E-2
1.094475750E0,3.371849358E-1,1.000435948E0,-2.605898678E-1
1.104494750E0,2.949192524E-1,1.032164574E0,-4.030684531E-1
1.114512750E0,1.857715100E-1,9.722318053E-1,-4.400054514E-1
1.124531750E0,8.424063027E-2,7.914998531E-1,-3.934571147E-1
1.134550750E0,7.247120142E-3,5.339220166E-1,-2.990226746E-1
1.144569750E0,-3.388327360E-2,2.278294861E-1,-2.007171512E-1
1.154588750E0,-5.904642120E-2,-8.055743575E-2,-1.284364313E-1
1.164607750E0,-6.985885650E-2,-3.202461898E-1,-1.001224965E-1
1.174626750E0,-6.121084839E-2,-4.736602902E-1,-1.171011552E-1
1.184645750E0,-5.671010539E-2,-5.665284395E-1,-1.585298330E-1
1.194664750E0,-8.498600870E-2,-6.164464355E-1,-2.021338791E-1
1.204683750E0,-1.438013911E-1,-6.228798628E-1,-2.304757684E-1
1.214702750E0,-2.407910377E-1,-5.900929570E-1,-2.380313128E-1
1.224721750E0,-3.386515677E-1,-5.156677365E-1,-2.252092510E-1
1.234740750E0,-3.645360470E-1,-4.307794273E-1,-2.007911652E-1
1.244759750E0,-2.831474543E-1,-3.788770735E-1,-1.822880507E-1
1.254778750E0,-1.301998198E-1,-3.563114703E-1,-1.673525870E-1
1.264797750E0,2.131113783E-2,-3.199611902E-1,-1.479826272E-1
1.274816750E0,1.115285158E-1,-2.034793645E-1,-9.233168513E-2
1.284835750E0,5.346387997E-2,-7.686156780E-3,7.044972852E-3
1.294854750E0,-1.117180735E-1,1.670260280E-1,1.281598955E-1
