"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.338504167E-1,-8.554710388E-1,6.080655212E0,8.151448975E0
9.438684167E-1,-6.107299805E-1,6.075715485E0,7.911647644E0
9.538864167E-1,-7.881111145E-1,6.090085602E0,7.605384521E0
9.639030000E-1,-1.172362061E0,6.112838287E0,7.562423859E0
9.739210000E-1,-1.305285645E0,6.050418091E0,7.650440826E0
9.839390000E-1,-1.248553619E0,6.085445251E0,7.832312622E0
9.939580000E-1,-1.181343384E0,6.131699066E0,7.912994843E0
1.003976000E0,-1.154549103E0,6.195915527E0,7.886200562E0
1.013994000E0,-1.110989685E0,6.210884399E0,7.822732544E0
1.024012000E0,-1.091230774E0,6.200705566E0,7.711663513E0
1.034030000E0,-1.105301514E0,6.272107086E0,7.644153900E0
1.044048000E0,-1.074465637E0,6.330186310E0,7.629035339E0
1.054066000E0,-1.057101746E0,6.305787048E0,7.636220398E0
1.064084000E0,-1.075513458E0,6.273005219E0,7.633975067E0
1.074102000E0,-1.061293030E0,6.161187744E0,7.595505066E0
1.084120000E0,-1.060394897E0,6.063291321E0,7.577542419E0
1.094138000E0,-1.081800385E0,5.997128906E0,7.599546661E0
1.104156000E0,-1.073866882E0,5.933810577E0,7.560777283E0
1.114174000E0,-1.096469879E0,5.866750031E0,7.508835297E0
1.124192000E0,-1.090332642E0,5.868995361E0,7.461833038E0
1.134210000E0,-1.052461395E0,5.862558746E0,7.445067902E0
1.144228000E0,-1.003812561E0,5.862259369E0,7.454198914E0
1.154246000E0,-1.024469604E0,5.890550537E0,7.473359070E0
1.164264000E0,-1.064286804E0,5.902525635E0,7.495962067E0
1.174283000E0,-1.050515442E0,5.960006104E0,7.503147125E0
1.184301000E0,-1.015488281E0,5.995632019E0,7.488327942E0
1.194319000E0,-1.040935364E0,6.015540619E0,7.488627319E0
1.204337000E0,-1.052461395E0,5.974974976E0,7.537126465E0
1.214355000E0,-9.816586304E-1,5.920937347E0,7.587421875E0
1.224373000E0,-9.250762939E-1,5.827381897E0,7.607330475E0
1.234391000E0,-8.626560974E-1,5.701793060E0,7.567213898E0
1.244409000E0,-8.177494812E-1,5.633085938E0,7.480843506E0
1.254427000E0,-8.211923218E-1,5.606890411E0,7.391179962E0
1.264445000E0,-8.141569519E-1,5.646707611E0,7.311096497E0
1.274463000E0,-7.738906860E-1,5.761219482E0,7.298223267E0
1.284481000E0,-7.214996338E-1,5.853278046E0,7.322472839E0
1.294499000E0,-7.875123596E-1,5.922733612E0,7.369175720E0
1.304517000E0,-9.668394470E-1,6.071075134E0,7.414232025E0
1.314535000E0,-9.789642334E-1,6.149062958E0,7.516918488E0
1.324553000E0,-8.596623230E-1,6.104306030E0,7.538773041E0
1.334571000E0,-7.364685059E-1,6.023174744E0,7.501500549E0
1.344590000E0,-6.646179199E-1,5.844596100E0,7.403604126E0
1.354608000E0,-7.364685059E-1,5.711971893E0,7.345824280E0
1.364626000E0,-7.373666382E-1,5.647456055E0,7.383096771E0
1.374644000E0,-7.030879211E-1,5.602549438E0,7.402855682E0
1.384662000E0,-6.468049622E-1,5.609884186E0,7.433392181E0
1.394680000E0,-6.593788147E-1,5.659880219E0,7.470514984E0
1.404698000E0,-8.068222046E-1,5.776038666E0,7.482639771E0
1.414716000E0,-9.394464111E-1,5.900879059E0,7.562872925E0
1.424734000E0,-9.861492920E-1,5.968538361E0,7.694898376E0
1.434752000E0,-9.758207703E-1,6.039790192E0,7.753875732E0
1.444770000E0,-9.786648560E-1,6.090235291E0,7.753875732E0
1.454788000E0,-9.286688232E-1,6.094576263E0,7.674391022E0
1.464806000E0,-9.050180054E-1,6.022126923E0,7.596552887E0
1.474824000E0,-8.544232178E-1,6.005661163E0,7.552095337E0
1.484842000E0,-8.095166016E-1,6.030060425E0,7.528743896E0
1.494860000E0,-8.110134888E-1,6.002517700E0,7.522906036E0
1.504878000E0,-8.988807678E-1,5.990093536E0,7.448211365E0
1.514897000E0,-1.037492523E0,6.025420074E0,7.430697784E0
1.524915000E0,-1.136287079E0,6.120622101E0,7.545209656E0
1.534933000E0,-1.073717194E0,6.160289612E0,7.694748688E0
1.544951000E0,-1.015039215E0,6.149512024E0,7.782017212E0
1.554969000E0,-9.256750488E-1,6.134842529E0,7.743996277E0
1.564987000E0,-8.442443848E-1,6.070775757E0,7.620054016E0
1.575005000E0,-8.372090149E-1,6.029611359E0,7.521259460E0
1.585023000E0,-7.932005310E-1,5.988746338E0,7.459587708E0
1.595041000E0,-7.002438354E-1,5.957910461E0,7.416926422E0
1.605059000E0,-6.614744568E-1,6.013295288E0,7.427254944E0
1.615077000E0,-7.119195557E-1,6.118077393E0,7.454348602E0
1.625095000E0,-8.490344238E-1,6.240522766E0,7.507488098E0
1.635113000E0,-9.560618591E-1,6.285130005E0,7.599396973E0
1.645131000E0,-1.017883301E0,6.255791016E0,7.665709076E0
1.655149000E0,-1.024020538E0,6.155050507E0,7.708819427E0
1.665167000E0,-1.020877075E0,6.026767273E0,7.695347443E0
1.675185000E0,-9.672885132E-1,5.877677307E0,7.566315765E0
1.685204000E0,-9.144483948E-1,5.770949249E0,7.506290588E0
1.695222000E0,-8.559201050E-1,5.700445862E0,7.507039032E0
1.705240000E0,-8.087681580E-1,5.615871735E0,7.522606659E0
1.715258000E0,-7.460485840E-1,5.528303833E0,7.527247009E0
1.725276000E0,-7.851173401E-1,5.537135468E0,7.505392456E0
1.735294000E0,-9.361532593E-1,5.676495667E0,7.534432068E0
1.745312000E0,-9.982740784E-1,5.805377655E0,7.619006195E0
1.755330000E0,-9.370513916E-1,5.880521393E0,7.631879425E0
1.765348000E0,-8.900491333E-1,5.926176453E0,7.532037048E0
1.775366000E0,-9.297166443E-1,5.992488556E0,7.442074127E0
1.785384000E0,-8.125103760E-1,6.058052216E0,7.398664398E0
1.795402000E0,-7.223977661E-1,6.056705017E0,7.427105255E0
1.805420000E0,-6.749464417E-1,6.017785950E0,7.530989227E0
1.815438000E0,-6.616241455E-1,5.938001862E0,7.629783783E0
1.825456000E0,-6.384223938E-1,5.820795593E0,7.686216431E0
1.835474000E0,-6.854246521E-1,5.756279755E0,7.701634369E0
1.845492000E0,-7.804769897E-1,5.791157227E0,7.694598999E0
1.855511000E0,-8.093669128E-1,5.821843414E0,7.683372345E0
1.865529000E0,-8.544232178E-1,5.830076294E0,7.624095612E0
1.875547000E0,-9.204359436E-1,5.837710419E0,7.615114288E0
1.885565000E0,-9.412426758E-1,5.807622986E0,7.601193237E0
1.895583000E0,-9.153465271E-1,5.767207031E0,7.607929230E0
1.905601000E0,-8.975335693E-1,5.786666565E0,7.613767090E0
1.915619000E0,-8.394543457E-1,5.763315125E0,7.614964600E0
1.925637000E0,-7.532336426E-1,5.711672516E0,7.601791992E0
1.935655000E0,-7.176077271E-1,5.719156952E0,7.614365845E0
1.945673000E0,-7.385641479E-1,5.796546021E0,7.598049774E0
1.955691000E0,-7.125183105E-1,5.885012054E0,7.594008179E0
1.965709000E0,-7.755372620E-1,5.971232758E0,7.647896118E0
1.975727000E0,-9.101074219E-1,6.050867157E0,7.699688416E0
1.985745000E0,-9.508227539E-1,6.078110504E0,7.702083435E0
1.995763000E0,-9.626481628E-1,6.067033539E0,7.673193512E0
2.005781000E0,-9.267228699E-1,6.043382721E0,7.689359894E0
2.015799000E0,-8.098159790E-1,6.030958557E0,7.731422424E0
2.025817000E0,-7.279362488E-1,5.993686066E0,7.791447601E0
2.035836000E0,-7.673043823E-1,5.916296997E0,7.794441376E0
2.045854000E0,-8.107141113E-1,5.849835205E0,7.761809235E0
2.055872000E0,-8.863069153E-1,5.833818512E0,7.730524292E0
2.065890000E0,-9.524693298E-1,5.867348785E0,7.766299896E0
2.075908000E0,-1.003662872E0,5.902974701E0,7.761060791E0
2.085926000E0,-1.050216064E0,5.935906219E0,7.683072968E0
2.095944000E0,-1.053658905E0,5.940546570E0,7.591613159E0
2.105962000E0,-1.007704468E0,5.958359528E0,7.531438293E0
2.115980000E0,-9.321116638E-1,5.889203339E0,7.426805878E0
2.125998000E0,-8.225395203E-1,5.836213531E0,7.314838715E0
2.136016000E0,-7.083270264E-1,5.790109406E0,7.240742798E0
2.146034000E0,-6.605763245E-1,5.762866058E0,7.207960968E0
2.156052000E0,-5.956114197E-1,5.725593567E0,7.229216766E0
2.166070000E0,-5.647755432E-1,5.644761658E0,7.282505951E0
2.176088000E0,-6.120771790E-1,5.621260529E0,7.342680817E0
2.186106000E0,-6.893165588E-1,5.673651581E0,7.392078094E0
2.196125000E0,-7.714956665E-1,5.781876526E0,7.391629028E0
2.206143000E0,-8.258326721E-1,5.883066101E0,7.487280121E0
2.216161000E0,-8.123606873E-1,5.932762756E0,7.619305573E0
2.226179000E0,-7.499404907E-1,5.955365753E0,7.723189545E0
2.236197000E0,-7.131170654E-1,5.922134857E0,7.801776123E0
2.246215000E0,-6.897656250E-1,5.908213806E0,7.882009277E0
2.256233000E0,-6.259982300E-1,5.858966217E0,7.925568695E0
2.266251000E0,-5.852828979E-1,5.772446136E0,7.921078033E0
2.276269000E0,-5.522016907E-1,5.732928314E0,7.861801300E0
2.286287000E0,-5.385800171E-1,5.735622711E0,7.746690674E0
2.296305000E0,-6.095324707E-1,5.806275787E0,7.718249817E0
2.306323000E0,-6.761439514E-1,5.883664856E0,7.761958923E0
2.316341000E0,-7.372169495E-1,5.933660889E0,7.819140015E0
2.326359000E0,-7.667056274E-1,6.002218323E0,7.939340057E0
2.336377000E0,-7.584727478E-1,6.044280853E0,7.989785156E0
2.346395000E0,-7.782316589E-1,6.064488831E0,7.963140564E0
2.356413000E0,-8.080197144E-1,6.095324707E0,7.898924103E0
2.366432000E0,-7.441026306E-1,6.066135406E0,7.803422699E0
2.376450000E0,-6.694079590E-1,5.981112213E0,7.775281219E0
2.386468000E0,-6.694079590E-1,5.917344818E0,7.793393555E0
2.396486000E0,-6.568341064E-1,5.856271820E0,7.843838654E0
2.406504000E0,-6.239025879E-1,5.777834930E0,7.869585114E0
2.416522000E0,-6.026467896E-1,5.765111389E0,7.869734802E0
2.426540000E0,-6.349795532E-1,5.812413025E0,7.847580872E0
2.436558000E0,-7.099736023E-1,5.863307190E0,7.741601257E0
2.446576000E0,-7.679031372E-1,5.854774933E0,7.690707092E0
2.456594000E0,-7.976911926E-1,5.808820496E0,7.663314056E0
2.466612000E0,-8.107141113E-1,5.758375397E0,7.674690399E0
2.476630000E0,-7.493417358E-1,5.707032166E0,7.685018921E0
2.486648000E0,-6.671626282E-1,5.653293915E0,7.645501099E0
2.496666000E0,-5.857319641E-1,5.629643097E0,7.563471680E0
2.506684000E0,-5.113366699E-1,5.659131775E0,7.501949615E0
2.516702000E0,-4.739144897E-1,5.675747223E0,7.461234283E0
2.526720000E0,-4.761598206E-1,5.689518585E0,7.444319458E0
2.536739000E0,-5.402265930E-1,5.702990570E0,7.433541870E0
2.546757000E0,-6.050418091E-1,5.799839172E0,7.413633270E0
2.556775000E0,-6.553372192E-1,5.940845947E0,7.390880585E0
2.566793000E0,-6.183641052E-1,6.034102020E0,7.372319183E0
2.576811000E0,-6.084846497E-1,6.078858948E0,7.397017822E0
2.586829000E0,-6.373745728E-1,6.109694824E0,7.408094788E0
2.596847000E0,-6.526428223E-1,6.134692841E0,7.463479614E0
2.606865000E0,-6.159690857E-1,6.092480621E0,7.516319733E0
2.616883000E0,-5.590873718E-1,5.996230774E0,7.546706543E0
